aaCounter,Symbol,bClosed on Date,dTransaction Type,cBooks to Open on Date,eReason,hCountry of Incorporation,'gDR CUSIP,iReport Timestamp,jDepo
   158,SATYY,2016-06-13,DR Issuance,To Be Announced,Corporate Action,Bermuda,'80401R107,2016-12-02 09:01:45.363000000,DEPO1
   159,RFLXY,2016-06-07,DR Issuance,To Be Announced,Termination of DR Facility,Australia,'757370101,2016-12-02 09:01:45.363000000,DEPO1
   160,01IS,2016-06-06,DR Issuance,To Be Announced,Termination of DR Facility,Czech Republic,'500459102,2016-12-02 09:01:45.363000000,DEPO1
   161,KMBNY,2016-06-06,DR Issuance,To Be Announced,Termination of DR Facility,Czech Republic,'500459409,2016-12-02 09:01:45.363000000,DEPO1
   162,81JK,2016-06-01,DR Issuance,To Be Announced,Depositary Discretion,Russia,'368287108,2016-12-02 09:01:45.363000000,DEPO1
   163,LGWXY,2016-05-30,DR Issuance,To Be Announced,Termination of DR Facility,Spain,'527261101,2016-12-02 09:01:45.363000000,DEPO1
   164,CIBEY,2016-05-27,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Egypt,'201712304,2016-12-02 09:01:45.363000000,DEPO1
   165,41JB,2016-05-24,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Egypt,'201712106,2016-12-02 09:01:45.363000000,DEPO1
   166,CBKD,2016-05-24,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Egypt,'201712205,2016-12-02 09:01:45.363000000,DEPO1
   168,FLGZY,2016-05-16,DR Issuance,To Be Announced,Corporate Action,Switzerland,'34379U105,2016-12-02 09:01:45.363000000,DEPO1
   169,NSEEY,2016-05-12,DR Issuance,To Be Announced,Local Shares - Non Transferrable,Norway,'65651Q107,2016-12-02 09:01:45.363000000,DEPO1
   170,MOTMY,2016-05-10,DR Issuance,To Be Announced,Termination of DR Facility,Australia,'616346102,2016-12-02 09:01:45.363000000,DEPO1
   171,GOBPY,2016-05-05,DR Issuance,To Be Announced,Termination of DR Facility,United Kingdom,'37959C106,2016-12-02 09:01:45.363000000,DEPO1
   174,MSVI LX,2016-04-29,DR Cancellation,To Be Announced,Termination of DR Facility,Taiwan,'619539877,2016-12-02 09:01:45.363000000,DEPO1
   175,KRI LX,2016-04-25,DR Cancellation,To Be Announced,Termination of DR Facility,India,'488472101,2016-12-02 09:01:45.363000000,DEPO1
   176,JKXOY,2016-04-20,DR Cancellation,To Be Announced,Termination of DR Facility,United Kingdom,'47758M106,2016-12-02 09:01:45.363000000,DEPO1
   177,JKXOY,2016-04-20,DR Issuance,To Be Announced,Termination of DR Facility,United Kingdom,'47758M106,2016-12-02 09:01:45.363000000,DEPO1
   178,KRI LX,2016-04-20,DR Issuance,To Be Announced,Termination of DR Facility,India,'488472101,2016-12-02 09:01:45.363000000,DEPO1
   181,AFRVY,2016-04-08,DR Issuance,To Be Announced,Termination of DR Facility,South Africa,'00828W109,2016-12-02 09:01:45.363000000,DEPO1
   183,IINHY,2016-04-08,DR Issuance,To Be Announced,Depositary Discretion,Hong Kong,'45248T103,2016-12-02 09:01:45.363000000,DEPO1
   184,MRLLY,2016-04-06,DR Issuance,To Be Announced,Suspension of Trading,Jersey,'60283B107,2016-12-02 09:01:45.363000000,DEPO1
   185,UKRNY,2016-04-06,DR Issuance,To Be Announced,Depositary Discretion,Ukraine,'903727204,2016-12-02 09:01:45.363000000,DEPO1
   186,RINFY,2016-04-04,DR Issuance,To Be Announced,Termination of DR Facility,Russia,'75523Q102,2016-12-02 09:01:45.363000000,DEPO1
   187,TTTLY,2016-04-01,DR Issuance,To Be Announced,Termination of DR Facility,Thailand,'Y87296102,2016-12-02 09:01:45.363000000,DEPO1
   189,LNCGD,2016-03-31,DR Cancellation,To Be Announced,Suspension of Trading,Australia,'532782208,2016-12-02 09:01:45.363000000,DEPO1
   190,LNCGD,2016-03-31,DR Issuance,To Be Announced,Suspension of Trading,Australia,'532782208,2016-12-02 09:01:45.363000000,DEPO1
   191,GFI,2016-03-24,DR Issuance,2017-03-27,Corporate Action - Offshore Offering (non-US registrations),South Africa,'38059T106,2016-12-02 09:01:45.363000000,DEPO1
   192,ITRYY,2016-03-15,DR Issuance,To Be Announced,Termination of DR Facility,Ukraine,'460610108,2016-12-02 09:01:45.363000000,DEPO1
   193,CTOHY,2016-03-08,DR Issuance,To Be Announced,Termination of DR Facility,Australia,'173062100,2016-12-02 09:01:45.363000000,DEPO1
   194,ALCYY,2016-03-03,DR Issuance,To Be Announced,Delisted from Local Market,Australia,'01407V108,2016-12-02 09:01:45.363000000,DEPO1
   195,CVKEY,2016-03-03,DR Issuance,To Be Announced,Delisted from Local Market,China,'16948J109,2016-12-02 09:01:45.363000000,DEPO1
   196,DCCPY,2016-03-03,DR Issuance,To Be Announced,Delisted from Local Market,Ireland,'23308M102,2016-12-02 09:01:45.363000000,DEPO1
   197,HOGDY,2016-03-03,DR Issuance,To Be Announced,Delisted from Local Market,Sweden,'434603106,2016-12-02 09:01:45.363000000,DEPO1
   199,MEYPY,2016-03-03,DR Issuance,To Be Announced,Delisted from Local Market,Ireland,'565118106,2016-12-02 09:01:45.363000000,DEPO1
