aaCounter,Symbol,bClosed on Date,dTransaction Type,cBooks to Open on Date,eReason,hCountry of Incorporation,'gDR CUSIP,iReport Timestamp,jDepo
   337,USSJY,2012-09-13,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Japan,'90344T102,2016-12-02 09:01:45.363000000,DEPO1
   339,SHFGY,2012-09-07,DR Issuance,To Be Announced,Corporate Action - Capital Restructuring,China,'819423104,2016-12-02 09:01:45.363000000,DEPO1
   340,YMZBY,2012-09-07,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Japan,'984632208,2016-12-02 09:01:45.363000000,DEPO1
   342,HHKIY,2012-08-30,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Japan,'434143202,2016-12-02 09:01:45.363000000,DEPO1
   343,SHSGY,2012-08-30,DR Issuance,To Be Announced,12g3-2b Eligibility Is Under Review,Japan,'825386204,2016-12-02 09:01:45.363000000,DEPO1
   344,96LE,2012-08-29,DR Issuance,To Be Announced,Tax Certification Form Required,Tunisia,'06675A108,2016-12-02 09:01:45.363000000,DEPO1
   345,BIND,2012-08-29,DR Issuance,To Be Announced,Tax Certification Form Required,Tunisia,'06675A207,2016-12-02 09:01:45.363000000,DEPO1
   346,96LE,2012-08-27,DR Cancellation,To Be Announced,Tax Certification Form Required,Tunisia,'06675A108,2016-12-02 09:01:45.363000000,DEPO1
   347,BIND,2012-08-27,DR Cancellation,To Be Announced,Tax Certification Form Required,Tunisia,'06675A207,2016-12-02 09:01:45.363000000,DEPO1
   348,ANEGY,2012-07-11,DR Issuance,To Be Announced,Corporate Action - Capital Restructuring,United Kingdom,'034196204,2016-12-02 09:01:45.363000000,DEPO1
   349,88KZ,2012-06-25,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Jordan,'038460101,2016-12-02 09:01:45.363000000,DEPO1
   350,APOD,2012-06-25,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Jordan,'038460200,2016-12-02 09:01:45.363000000,DEPO1
   351,HSBJY,2012-06-25,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Jordan,'44183B102,2016-12-02 09:01:45.363000000,DEPO1
   352,JDKWY,2012-06-25,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Jordan,'480702109,2016-12-02 09:01:45.363000000,DEPO1
   353,GMDMY,2012-05-11,DR Issuance,To Be Announced,DR Registration Limitation,Brit. Virgin Islands,'368573101,2016-12-02 09:01:45.363000000,DEPO1
   354,ITFMY,2012-05-11,DR Issuance,To Be Announced,DR Registration Limitation,Australia,'45951G108,2016-12-02 09:01:45.363000000,DEPO1
   355,VEDG,2012-05-10,DR Cancellation,To Be Announced,Company Request,United Kingdom,'92241T102,2016-12-02 09:01:45.363000000,DEPO1
   356,OPYGY,2012-03-13,DR Issuance,To Be Announced,Company Request,Russia,'73181P102,2016-12-02 09:01:45.363000000,DEPO1
   358,HCXLY,2012-01-20,DR Issuance,To Be Announced,DR Registration Limitation,Bermuda,'43358P102,2016-12-02 09:01:45.363000000,DEPO1
   359,PHXXY,2012-01-20,DR Issuance,To Be Announced,DR Registration Limitation,Cayman Islands,'71906Q108,2016-12-02 09:01:45.363000000,DEPO1
   361,86CL,2011-05-19,DR Issuance,To Be Announced,Monitor of Ownership Limitations,Russia,'164145104,2016-12-02 09:01:45.363000000,DEPO1
   362,62UM,2011-05-12,DR Cancellation,To Be Announced,Company Request,Guernsey,'29760G202,2016-12-02 09:01:45.363000000,DEPO1
   363,62UM,2011-05-12,DR Issuance,To Be Announced,Company Request,Guernsey,'29760G202,2016-12-02 09:01:45.363000000,DEPO1
   364,ETLN,2011-05-12,DR Cancellation,To Be Announced,Company Request,Guernsey,'29760G103,2016-12-02 09:01:45.363000000,DEPO1
   365,ETLN,2011-05-12,DR Issuance,To Be Announced,Company Request,Guernsey,'29760G103,2016-12-02 09:01:45.363000000,DEPO1
   366,KAR,2011-03-17,DR Cancellation,To Be Announced,Corporate Action - (M&A),India,'48576W102,2016-12-02 09:01:45.363000000,DEPO1
   367,RFMFY,2011-03-17,DR Issuance,To Be Announced,Dividend Record Date Conflict,Philippines,'749929105,2016-12-02 09:01:45.363000000,DEPO1
   369,SUBX,2011-02-23,DR Issuance,To Be Announced,Monitor of Ownership Limitations,India,'86428R202,2016-12-02 09:01:45.363000000,DEPO1
   370,SUPH LX,2011-02-23,DR Issuance,To Be Announced,Monitor of Ownership Limitations,India,'869041103,2016-12-02 09:01:45.363000000,DEPO1
   371,TAA,2011-02-23,DR Issuance,To Be Announced,Monitor of Ownership Limitations,India,'875389108,2016-12-02 09:01:45.363000000,DEPO1
   372,TPCL,2011-02-23,DR Issuance,To Be Announced,Monitor of Ownership Limitations,India,'876566407,2016-12-02 09:01:45.363000000,DEPO1
   374,TIG,2011-02-23,DR Issuance,To Be Announced,Monitor of Ownership Limitations,India,'Y90018105,2016-12-02 09:01:45.363000000,DEPO1
   379,GRAN,2011-02-22,DR Issuance,To Be Announced,Monitor of Ownership Limitations,India,'388483208,2016-12-02 09:01:45.363000000,DEPO1
   380,HVLX,2011-02-22,DR Issuance,To Be Announced,Monitor of Ownership Limitations,India,'43321P106,2016-12-02 09:01:45.363000000,DEPO1
   383,IBL,2011-02-22,DR Issuance,To Be Announced,Monitor of Ownership Limitations,India,'455786103,2016-12-02 09:01:45.363000000,DEPO1
   389,KLGX LX,2011-02-22,DR Issuance,To Be Announced,Monitor of Ownership Limitations,India,'498590108,2016-12-02 09:01:45.363000000,DEPO1
   390,KRI LX,2011-02-22,DR Issuance,To Be Announced,Monitor of Ownership Limitations,India,'488472101,2016-12-02 09:01:45.363000000,DEPO1
   391,LLD,2011-02-22,DR Issuance,To Be Announced,Monitor of Ownership Limitations,India,'539373100,2016-12-02 09:01:45.363000000,DEPO1
   393,NCOP LX,2011-02-22,DR Issuance,To Be Announced,Monitor of Ownership Limitations,India,'65475R109,2016-12-02 09:01:45.363000000,DEPO1
   394,SPIC,2011-02-22,DR Issuance,To Be Announced,Monitor of Ownership Limitations,India,'843613100,2016-12-02 09:01:45.363000000,DEPO1
   395,AMKD,2011-02-18,DR Issuance,To Be Announced,Monitor of Ownership Limitations,India,'03233Q105,2016-12-02 09:01:45.363000000,DEPO1
   396,ASHN LX,2011-02-18,DR Issuance,To Be Announced,Monitor of Ownership Limitations,India,'043810100,2016-12-02 09:01:45.363000000,DEPO1
   397,CGVA,2011-02-18,DR Issuance,To Be Announced,Monitor of Ownership Limitations,India,'227120102,2016-12-02 09:01:45.363000000,DEPO1
   398,CGVD,2011-02-18,DR Issuance,To Be Announced,Monitor of Ownership Limitations,India,'227120201,2016-12-02 09:01:45.363000000,DEPO1
   402,EIDP,2011-02-18,DR Issuance,To Be Announced,Monitor of Ownership Limitations,India,'Y67828114,2016-12-02 09:01:45.363000000,DEPO1
   403,SOL,2010-12-01,DR Issuance,To Be Announced,Certification Required,Brit. Virgin Islands,'75971T103,2016-12-02 09:01:45.363000000,DEPO1
   404,RANGY,2010-11-23,DR Issuance,To Be Announced,Suspension of Trading,South Africa,'753009307,2016-12-02 09:01:45.363000000,DEPO1
   405,TRCN,2010-11-15,DR Issuance,To Be Announced,Monitor of Ownership Limitations,Russia,'893556100,2016-12-02 09:01:45.363000000,DEPO1
   406,SAGKY,2010-10-19,DR Cancellation,To Be Announced,Company Request,United Kingdom,'85255A100,2016-12-02 09:01:45.363000000,DEPO1
   407,SAGKY,2010-10-19,DR Issuance,To Be Announced,Company Request,United Kingdom,'85255A100,2016-12-02 09:01:45.363000000,DEPO1
   408,TKECY,2010-10-18,DR Issuance,To Be Announced,Company Request,Japan,'889109104,2016-12-02 09:01:45.363000000,DEPO1
   409,NILSY,2010-10-12,DR Issuance,To Be Announced,Monitor of Ownership Limitations,Russia,'55315J102,2016-12-02 09:01:45.363000000,DEPO1
   410,FARM LX,2010-08-02,DR Issuance,To Be Announced,Corporate Action - Stock Dividend,India,'30768A106,2016-12-02 09:01:45.363000000,DEPO1
   411,GBLBY,2010-04-20,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Belgium,'399457100,2016-12-02 09:01:45.363000000,DEPO1
   412,IVSBY,2010-03-09,DR Issuance,To Be Announced,Company Request,Sweden,'46145A106,2016-12-02 09:01:45.363000000,DEPO1
   413,89VS,2009-10-01,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,The Netherlands,'98387E106,2016-12-02 09:01:45.363000000,DEPO1
   415,RFMFY,2009-09-09,DR Issuance,To Be Announced,Corporate Action - Stock Dividend,Philippines,'749929105,2016-12-02 09:01:45.363000000,DEPO1
   416,BLBD,2009-08-20,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Lebanon,'093688109,2016-12-02 09:01:45.363000000,DEPO1
   417,SGOTY,2009-07-27,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,China,'818902108,2016-12-02 09:01:45.363000000,DEPO1
   418,SGOTY,2009-07-27,DR Cancellation,To Be Announced,Monitor of Foreign Ownership Limitations,China,'818902108,2016-12-02 09:01:45.363000000,DEPO1
   419,BOUYY,2009-07-21,DR Issuance,To Be Announced,Company Request,France,'102117108,2016-12-02 09:01:45.363000000,DEPO1
   420,WKCMY,2009-05-14,DR Cancellation,To Be Announced,Company Request,Germany,'929805109,2016-12-02 09:01:45.363000000,DEPO1
   421,WKCMY,2009-05-14,DR Issuance,To Be Announced,Company Request,Germany,'929805109,2016-12-02 09:01:45.363000000,DEPO1
   423,ACMUY,2008-01-17,DR Issuance,To Be Announced,DR Registration Limitation,Japan,'004845202,2016-12-02 09:01:45.363000000,DEPO1
   424,AEBZY,2007-11-23,DR Cancellation,To Be Announced,Certification Required,Turkey,'032523201,2016-12-02 09:01:45.363000000,DEPO1
   428,98LM,2007-11-23,DR Cancellation,To Be Announced,Certification Required,Turkey,'900151408,2016-12-02 09:01:45.363000000,DEPO1
   429,TIBD,2007-11-23,DR Cancellation,To Be Announced,Certification Required,Turkey,'900151507,2016-12-02 09:01:45.363000000,DEPO1
   432,98KI,2007-11-23,DR Cancellation,To Be Announced,Certification Required,Turkey,'984848101,2016-12-02 09:01:45.363000000,DEPO1
   433,YKBD,2007-11-23,DR Cancellation,To Be Announced,Certification Required,Turkey,'984848200,2016-12-02 09:01:45.363000000,DEPO1
   434,ARCAY,2007-06-07,DR Issuance,To Be Announced,Company Request,The Netherlands,'03923E107,2016-12-02 09:01:45.363000000,DEPO1
   435,81JK,2005-11-14,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Russia,'368287108,2016-12-02 09:01:45.363000000,DEPO1
   436,BKVZY,2005-11-14,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Russia,'92915R101,2016-12-02 09:01:45.363000000,DEPO1
   437,BXP,2005-10-28,DR Cancellation,To Be Announced,Monitor of Foreign Ownership Limitations,Bangladesh,'088579206,2016-12-02 09:01:45.363000000,DEPO1
   438,BXP,2005-10-28,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Bangladesh,'088579206,2016-12-02 09:01:45.363000000,DEPO1
   439,KQIPQ,2002-09-18,DR Issuance,To Be Announced,Local Shares - Non Transferrable,The Netherlands,'500750104,2016-12-02 09:01:45.363000000,DEPO1
   440,RYAAY,2001-06-26,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,Ireland,'783513203,2016-12-02 09:01:45.363000000,DEPO1
